cluster_id,paper_count,consensus_status,consensus_score,keywords,temporal_span
0,16,disagreement,0.019999999999999997,"effects microgravity biological, the, osteocytic osteolysis, that, and, microgravity, space, housing groups mice, to high, shown, after a, countermeasure, space flight, diet, risks",8
1,7,disagreement,0.05,"innate immunity study, and, used drosophila model, the, that, space, reagents, space station, like an, early, microgravity, virulent, grown, flights, on astronaut",5
2,15,disagreement,0.0,"mortality worldwide betacoronavirus, betacoronavirus continues evolve, morbidity, covid 19 disease, graphical, worldwide, continues, cov, abstract, disease, sars, mortality, betacoronavirus, caused sars, the",12
3,4,disagreement,0.06999999999999999,"actin mediated root, root, the, that, bending plant, and, plant organs increased, auxin analog dichlorophenoxyacetic, actin, cytoskeleton highly plastic, hair development, directionality epi brassinolide, inhibitor, organs, sensitivity to",3
4,7,disagreement,0.05,"trafficking endoplasmic reticulum, the, plants arabidopsis thaliana, golgi, regulation cells operate, golgi core coat, ca2 cyt levels, copi, survival, stress sensors, spaceflight significantly, from the, type ii, indicate, generated",5
5,6,disagreement,0.05,"radiation impairs bone, the, galactic cosmic radiation, that, radiation, health astronauts extended, collagen molecular structure, induced biological effects, remodeling mice long, early, role, biological, populations, induced biological, matter",5
6,3,disagreement,0.06999999999999999,"accelerations oyster toadfish, the, characterize physiology utricular, land snail, functional studies, inertial, orientation respect gravity, organism maintains, senses sum inertial, weightlessness, and, force head, the physiology, to its, gravity was",3
7,8,disagreement,0.05,"getty, background, collection, photos, photographs getty, june, collection photographs, this, photographs, from, please, your, images article, background article collection, originally",5
8,4,disagreement,0.09000000000000001,"fviii, viii, codon, depleted, hemophilia dose dependent, liver specific promoter, tak 754 aav8, f8 transgene control, increase plasma fviii, vector, therapy, based, tak, human, factor",1
9,5,disagreement,0.05,"sequencing antibody repertoires, and, the, that, spaceflight, immune, cell populations, repertoire, reduction in, shown, available to, specificity, we studied, on separate, steadily",5
10,4,disagreement,0.06999999999999999,"proteins called tardigrade, proteins, the, anhydrobiosis strategy allowing, cryoprotectants animals evolved, negative obligate intracellular, extreme dehydration entering, causes tick, reactive oxygen, animals survive broad, animals, and, stress, which, undergo biochemical",3
11,3,disagreement,0.06999999999999999,"bone using rna, the, and, muscle adaptation reduced, bone, gait kinematics measured, cyclic loading experiments, loading isolated mouse, small, loading, for, and difficult, cortical, some, microgravity",3
12,2,disagreement,0.08000000000000002,"detergent, mscl, stoichiometries, mscl bacterial mechanosensitive, resolved, membrane protein subunits, two, channel, rearrangements, ray crystallography reveals, external osmotic environment, pentameric complex, cells, membrane, protein",2
